번호,신고일,구정보,주소,유형,조치일,,,,,,,,,,,,,,,,,
159,2025.5.1,금천구,서울특별시 금천구 독산동 1081-3,자전거 도로,2025.5.1,,,,,,,,,,,,,,,,,
160,2025.5.1,강남구,서울특별시 강남구 삼성동 151-2,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
161,2025.5.1,관악구,서울특별시 관악구 봉천동 1560-65,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
162,2025.5.1,양천구,서울특별시 양천구 신월동 260,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
163,2025.5.1,양천구,서울특별시 양천구 신월동 260,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
164,2025.5.1,강남구,서울특별시 강남구 삼성동 128-5,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
165,2025.5.1,강남구,서울특별시 강남구 삼성동 128-3,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
166,2025.5.1,금천구,서울특별시 금천구 독산동 1133,버스정류소 및 택시승강장 주변(5m 이내),2025.5.1,,,,,,,,,,,,,,,,,
167,2025.5.1,강남구,서울특별시 강남구 삼성동 128-23,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
168,2025.5.1,구로구,서울특별시 구로구 구로동 1259,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
169,2025.5.1,금천구,서울특별시 금천구 독산동 1133,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
170,2025.5.1,강남구,서울특별시 강남구 삼성동 66,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
171,2025.5.1,강남구,서울특별시 강남구 삼성동 66,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
172,2025.5.1,강남구,서울특별시 강남구 삼성동 65-4,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
173,2025.5.1,동작구,서울특별시 동작구 대방동 390-6,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
174,2025.5.1,구로구,서울특별시 구로구 구로동 703-4,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
175,2025.5.1,구로구,서울특별시 구로구 구로동 703-4,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
176,2025.5.1,영등포구,서울특별시 영등포구 양평동4가 202-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
177,2025.5.1,영등포구,서울특별시 영등포구 양평동4가 202-1,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
178,2025.5.1,양천구,서울특별시 양천구 신정동 330-7,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
179,2025.5.1,강남구,서울특별시 강남구 청담동 47-2,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
180,2025.5.1,강남구,서울특별시 강남구 청담동 47-2,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
181,2025.5.1,동작구,서울특별시 동작구 상도동 26-73,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
182,2025.5.1,양천구,서울특별시 양천구 신정동 331-2,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
183,2025.5.1,양천구,서울특별시 양천구 신정동 331-2,보호구역(어린이·노인·장애인),2025.5.1,,,,,,,,,,,,,,,,,
184,2025.5.1,강남구,서울특별시 강남구 대치동 1011,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
185,2025.5.1,양천구,서울특별시 양천구 신정동 1325,횡단보도 주변(3m),2025.5.1,,,,,,,,,,,,,,,,,
186,2025.5.1,강남구,서울특별시 강남구 대치동 1011,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
187,2025.5.1,강남구,서울특별시 강남구 대치동 1011,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
188,2025.5.1,영등포구,서울특별시 영등포구 양평동5가 1-3,상기 사항 외 보도,2025.5.1,,,,,,,,,,,,,,,,,
189,2025.5.1,강남구,서울특별시 강남구 대치동 944,보도와 차도가 구분된 도로의 차도,2025.5.1,,,,,,,,,,,,,,,,,
