grid_id,grid_x,grid_y,center_x_m,center_y_m
4739_9751,4739,9751,947900.0,1950300.0
4739_9753,4739,9753,947900.0,1950700.0
4739_9754,4739,9754,947900.0,1950900.0
4739_9755,4739,9755,947900.0,1951100.0
4739_9764,4739,9764,947900.0,1952900.0
4739_9773,4739,9773,947900.0,1954700.0
4739_9776,4739,9776,947900.0,1955300.0
4739_9778,4739,9778,947900.0,1955700.0
4739_9779,4739,9779,947900.0,1955900.0
4739_9781,4739,9781,947900.0,1956300.0
4739_9783,4739,9783,947900.0,1956700.0
4739_9785,4739,9785,947900.0,1957100.0
4739_9787,4739,9787,947900.0,1957500.0
4740_9710,4740,9710,948100.0,1942100.0
4740_9713,4740,9713,948100.0,1942700.0
4740_9715,4740,9715,948100.0,1943100.0
4740_9716,4740,9716,948100.0,1943300.0
4740_9723,4740,9723,948100.0,1944700.0
4740_9749,4740,9749,948100.0,1949900.0
4740_9750,4740,9750,948100.0,1950100.0
4740_9751,4740,9751,948100.0,1950300.0
4740_9752,4740,9752,948100.0,1950500.0
4740_9753,4740,9753,948100.0,1950700.0
4740_9755,4740,9755,948100.0,1951100.0
4740_9758,4740,9758,948100.0,1951700.0
4740_9762,4740,9762,948100.0,1952500.0
4740_9763,4740,9763,948100.0,1952700.0
4740_9764,4740,9764,948100.0,1952900.0
4740_9767,4740,9767,948100.0,1953500.0
4740_9768,4740,9768,948100.0,1953700.0
4740_9769,4740,9769,948100.0,1953900.0
4740_9770,4740,9770,948100.0,1954100.0
4740_9772,4740,9772,948100.0,1954500.0
4740_9773,4740,9773,948100.0,1954700.0
4740_9777,4740,9777,948100.0,1955500.0
4740_9783,4740,9783,948100.0,1956700.0
4740_9784,4740,9784,948100.0,1956900.0
4740_9785,4740,9785,948100.0,1957100.0
4740_9786,4740,9786,948100.0,1957300.0
4740_9787,4740,9787,948100.0,1957500.0
4741_9713,4741,9713,948300.0,1942700.0
4741_9714,4741,9714,948300.0,1942900.0
4741_9715,4741,9715,948300.0,1943100.0
4741_9722,4741,9722,948300.0,1944500.0
4741_9729,4741,9729,948300.0,1945900.0
4741_9731,4741,9731,948300.0,1946300.0
4741_9750,4741,9750,948300.0,1950100.0
4741_9752,4741,9752,948300.0,1950500.0
4741_9753,4741,9753,948300.0,1950700.0
4741_9761,4741,9761,948300.0,1952300.0
4741_9764,4741,9764,948300.0,1952900.0
4741_9767,4741,9767,948300.0,1953500.0
4741_9773,4741,9773,948300.0,1954700.0
4741_9774,4741,9774,948300.0,1954900.0
4741_9775,4741,9775,948300.0,1955100.0
4741_9776,4741,9776,948300.0,1955300.0
4741_9778,4741,9778,948300.0,1955700.0
4741_9779,4741,9779,948300.0,1955900.0
4741_9781,4741,9781,948300.0,1956300.0
4741_9782,4741,9782,948300.0,1956500.0
4741_9786,4741,9786,948300.0,1957300.0
4741_9787,4741,9787,948300.0,1957500.0
4741_9788,4741,9788,948300.0,1957700.0
4741_9790,4741,9790,948300.0,1958100.0
4742_9708,4742,9708,948500.0,1941700.0
4742_9713,4742,9713,948500.0,1942700.0
4742_9715,4742,9715,948500.0,1943100.0
4742_9716,4742,9716,948500.0,1943300.0
4742_9717,4742,9717,948500.0,1943500.0
4742_9719,4742,9719,948500.0,1943900.0
4742_9722,4742,9722,948500.0,1944500.0
4742_9730,4742,9730,948500.0,1946100.0
4742_9749,4742,9749,948500.0,1949900.0
4742_9750,4742,9750,948500.0,1950100.0
4742_9753,4742,9753,948500.0,1950700.0
4742_9754,4742,9754,948500.0,1950900.0
4742_9755,4742,9755,948500.0,1951100.0
4742_9762,4742,9762,948500.0,1952500.0
4742_9765,4742,9765,948500.0,1953100.0
4742_9767,4742,9767,948500.0,1953500.0
4742_9773,4742,9773,948500.0,1954700.0
4742_9775,4742,9775,948500.0,1955100.0
4742_9777,4742,9777,948500.0,1955500.0
4742_9778,4742,9778,948500.0,1955700.0
4742_9779,4742,9779,948500.0,1955900.0
4742_9783,4742,9783,948500.0,1956700.0
4742_9784,4742,9784,948500.0,1956900.0
4742_9785,4742,9785,948500.0,1957100.0
4742_9789,4742,9789,948500.0,1957900.0
4742_9790,4742,9790,948500.0,1958100.0
4742_9791,4742,9791,948500.0,1958300.0
4742_9801,4742,9801,948500.0,1960300.0
4742_9802,4742,9802,948500.0,1960500.0
4743_9705,4743,9705,948700.0,1941100.0
4743_9707,4743,9707,948700.0,1941500.0
4743_9708,4743,9708,948700.0,1941700.0
4743_9713,4743,9713,948700.0,1942700.0
4743_9714,4743,9714,948700.0,1942900.0
4743_9717,4743,9717,948700.0,1943500.0
4743_9719,4743,9719,948700.0,1943900.0
4743_9722,4743,9722,948700.0,1944500.0
4743_9723,4743,9723,948700.0,1944700.0
4743_9748,4743,9748,948700.0,1949700.0
4743_9749,4743,9749,948700.0,1949900.0
